Cartel Vertical,Anonymized Client ID,Anonymized Sub Org ID,Org Created,Anonymized User ID,Anonymized Event ID,Event Created,Has Location,Last Chat Response Date,Admin First Response Date,First Chat Response Date,Eventcategory (group),Number of Records,adminchats,Adminflag,Anonymous,averagelen,chatcount,Event Text,Eventcategory,eventid (Custom SQL Query),Testflag,userchats,chat_count,,,,
HigherEd,71-85-00-101-101-111-67-00-78-101-32-,71-85-00-101-101-111-67-00-78-101-32-,3/4/2015 15:04,243869,790319,1/7/2018 15:54,TRUE,1/7/2018 15:57,,1/7/2018 15:55,Drugs/Alcohol,1,0,0,1,51,4,Strong smell of [GPE] on the # floor of spring garden apartments.,Drugs/Alcohol,790419,0,0,4,,,,
HigherEd,104-83-97-71-101-32-117-101-111-71-116-,104-83-97-71-101-32-117-101-111-71-116-,8/5/2015 22:04,1026024,790810,1/7/2018 22:03,TRUE,1/7/2018 22:12,,1/7/2018 22:04,Drugs/Alcohol,1,0,0,1,30.57142857,7,They have excessive amounts of drugs and liquor,Drugs/Alcohol,790910,0,0,7,,,,
HigherEd,104-83-97-71-101-32-117-101-111-71-116-,104-83-97-71-101-32-117-101-111-71-116-,8/5/2015 22:04,1885775,790820,1/7/2018 22:11,TRUE,1/7/2018 22:31,,1/7/2018 22:13,Drugs/Alcohol,1,0,0,1,52.42857143,7,I would like to report weed smells and underage drinking to rooms #### #### #### #### ####,Drugs/Alcohol,790920,0,0,7,,,,
HigherEd,67-85-00-97-114-32-67-00-78-97-32-,67-85-00-97-114-00-67-00-78-97-32-,11/1/2013 18:18,198025,790875,1/7/2018 22:54,TRUE,1/7/2018 23:12,,1/7/2018 22:55,Drugs/Alcohol,1,0,0,1,84.57142857,7,People are smoking weed in ### Belk Hall.,Drugs/Alcohol,790975,0,0,7,,,,
HigherEd,111-65-105-97-32-32-105-101-114-97-122-,65-65-00-32-45-116-85-00-83-32-32-,4/3/2014 18:30,1887586,792473,1/8/2018 17:38,TRUE,1/8/2018 17:46,,1/8/2018 17:39,Suspicious Activity,1,0,0,1,67.85714286,7,"The man in the light gray shirt does not appear to be a student of [ORG], and has been loitering around [ORG] buildings. He does not appear to be in a safe state of mind.",Suspicious Activity,792573,0,0,7,,,,
HigherEd,110-83-110-97-104-101-118-118-97-97-97-,110-83-110-97-104-101-118-118-97-97-97-,6/16/2017 15:12,1670265,792982,1/8/2018 23:56,TRUE,1/9/2018 0:14,,1/8/2018 23:58,Harassment / Abuse,1,0,0,1,84.25,4,Gun shot in university village or loud boom between buildings #-#,Harassment / Abuse,793082,0,0,4,,,,
HigherEd,00-86-00-00-00-00-85-00-67-00-32-,00-86-00-00-00-00-85-00-67-00-00-,8/15/2013 1:06,1889293,794056,1/9/2018 14:20,TRUE,1/9/2018 14:28,,1/9/2018 14:24,Drugs/Alcohol,1,0,0,0,79.4,5,"I work in [ORG] and for [DATE] an employee has exhibited peculiar behavior. We have a consultant in the office and he has been with her in a conference room with his laptop. He frequently leaves to go back to his office, shuts the door (lights off) and I hear a drawer open and then hear sniffing and then choking noises of sorts. [DATE] he went in his office at [QUANTITY] and shut the door (lights off as normal but odd) and then sounds like he picks up his backpack and then I hear a zipper and then a few sniffs and choking sounds. I am thinking this is some sort of sniffing drug. This employee frequently displays signs of intoxication at work. The things that bothers me with this is I feel uncomfortable when he comes over to my office and jokes around and just simply acts very bizarre. This employee is being managed by [PERSON]. We are on the second floor of [FAC]. [DATE] was the first date I felt uncomfortable, then it continued [DATE] at lunch with a few other employees ([ORG] and [PERSON]). I would not put this request in if I didn't feel uncomfortable.",Drugs/Alcohol,794156,0,0,5,,,,
HigherEd,101-75-110-97-119-101-110-118-101-97-110-,101-75-110-97-119-101-110-118-101-97-110-,9/1/2015 12:38,1008142,794255,1/9/2018 16:32,TRUE,1/9/2018 18:40,,1/9/2018 16:34,Theft / Lost Item,1,0,0,0,61.91666667,12,Possible theft in [FAC] building #nd floor [PERSON]?,Theft / Lost Item,794355,0,0,12,,,,
HigherEd,71-85-00-101-101-111-67-00-78-101-32-,71-85-00-101-101-111-67-00-78-101-32-,3/4/2015 15:04,1889676,794467,1/9/2018 18:34,TRUE,1/9/2018 18:46,,1/9/2018 18:35,Suspicious Activity,1,0,0,1,128.75,4,"An [NORP] lady in the dining hall asking for donations for a skeptical foundation called [ORG]. Had pamphlet however I was not able to catch number or email on it. Using a notepad for donators to write down name, donation, and signature.",Suspicious Activity,794567,0,0,4,,,,
HigherEd,00-86-00-00-00-00-85-00-67-00-32-,00-86-00-00-00-00-85-00-67-00-00-,8/15/2013 1:06,1703659,794805,1/9/2018 22:14,TRUE,1/9/2018 22:28,,1/9/2018 22:15,Emergency Message,1,0,0,0,30.25,4,water running from the ground in front of ### [FAC]. possible water main issues.,Emergency Message,794905,0,0,4,,,,
HigherEd,68-79-118-109-105-85-100-114-108-109-32-,68-79-118-109-105-85-100-114-108-109-32-,8/11/2014 13:09,1641916,794853,1/9/2018 22:54,TRUE,1/9/2018 22:57,,1/9/2018 22:55,Drugs/Alcohol,1,0,0,1,41.71428571,7,Smell of weed coming from room #### in the village On/off all day sent tip [DATE] about the same room,Drugs/Alcohol,794953,0,0,7,,,,
HigherEd,115-74-68-72-111-32-104-32-111-72-110-,115-74-68-72-111-32-104-00-111-72-110-,7/20/2015 14:43,593036,795888,1/10/2018 13:30,TRUE,1/12/2018 13:38,,1/10/2018 13:31,Emergency Message,1,0,0,0,44,4,Good afternoon [ORG] staff.,Emergency Message,795988,0,0,4,,,,
HigherEd,115-74-68-72-111-32-104-32-111-72-110-,115-74-68-72-111-32-104-00-111-72-110-,7/20/2015 14:43,1879532,796213,1/10/2018 16:49,TRUE,1/10/2018 16:52,,1/10/2018 16:50,Harassment / Abuse,1,0,0,1,29,6,test only,Harassment / Abuse,796313,1,0,6,,,,
HigherEd,111-71-121-32-85-115-110-00-97-32-110-,111-71-121-32-85-115-110-00-97-32-110-,7/25/2017 18:42,1897037,796302,1/10/2018 17:37,TRUE,1/10/2018 17:40,,1/10/2018 17:38,Suspicious Activity,1,0,0,0,27,11,strange man in chapel wearing gloves...not sure if he's supposed to be here...i'm all alone..,Suspicious Activity,796402,0,0,11,,,,
HigherEd,32-68-00-110-105-116-107-00-117-110-101-,32-68-00-110-105-116-107-00-117-110-101-,1/26/2015 23:41,780529,796402,1/10/2018 18:37,FALSE,1/10/2018 18:46,,1/10/2018 18:38,Suspicious Activity,1,0,0,0,72.25,4,[NORP] In tan pants or corduroys [QUANTITY] ## appears to be stalking and following me on science drive a little before science drive circle walks briskly in front of me beside me,Suspicious Activity,796502,0,0,4,,,,
HigherEd,111-65-105-97-32-32-105-101-114-97-122-,65-65-00-32-45-116-85-00-83-32-32-,4/3/2014 18:30,330503,796431,1/10/2018 18:58,TRUE,1/10/2018 19:04,,1/10/2018 18:59,Harassment / Abuse,1,0,0,1,31.44444444,9,They are taking to every person that pass them about weed,Harassment / Abuse,796531,0,0,9,,,,
HigherEd,110-83-110-97-104-101-118-118-97-97-97-,110-83-110-97-104-101-118-118-97-97-97-,6/16/2017 15:12,1888892,796577,1/10/2018 20:26,TRUE,1/10/2018 20:34,,1/10/2018 20:27,Drugs/Alcohol,1,0,0,1,43.875,8,There is an odor of [GPE] coming from room ### in [LOC] . I suspect that it is being housed there,Drugs/Alcohol,796677,0,0,8,,,,
HigherEd,101-85-117-115-105-32-105-104-110-115-118-,101-85-117-115-105-32-105-104-110-115-118-,9/9/2014 21:20,1878634,796611,1/10/2018 20:48,TRUE,1/10/2018 20:58,,1/10/2018 20:49,Suspicious Activity,1,0,0,1,85.4,5,Guy with red rolling backpack trying to sell some kind of book to students asking for donations and being pushy around student union/pharmacy area,Suspicious Activity,796711,0,0,5,,,,
HigherEd,67-85-00-97-114-32-67-00-78-97-32-,67-85-00-97-114-00-67-00-78-97-32-,11/1/2013 18:18,990956,797008,1/11/2018 1:48,TRUE,1/11/2018 2:08,,1/11/2018 1:48,Emergency Message,1,0,0,0,19.57142857,7,"My name is [PERSON], my student [ORG] number is [DATE]. I'm in need of a ride to The [PERSON] because the buses are about to stop running for the night. I am currently in [ORG] can meet the police officer in front of [ORG].",Emergency Message,797108,0,0,7,,,,
HigherEd,101-85-117-115-105-32-105-104-110-115-118-,101-85-117-115-105-32-105-104-110-115-118-,9/9/2014 21:20,421478,797035,1/11/2018 2:11,TRUE,1/11/2018 14:03,,1/11/2018 2:13,Theft / Lost Item,1,0,0,0,122.25,4,My car was parked on [GPE] [DATE] (across from the elementary school on [PERSON]) and my car battery was stolen out of my car. I am an [ORG] student who works and takes class in the [PERSON] building and was parked on the street from ##:##am-[DATE]. I went to my car at [DATE] and could not turn on my car. I noticed that my hood was shut but slightly open. My car is still parked there as I do not have a battery.,Theft / Lost Item,797135,0,0,4,,,,
HigherEd,32-69-105-97-114-32-115-101-97-97-116-,00-69-00-00-00-00-85-00-67-00-00-,4/16/2015 17:52,1897793,797583,1/11/2018 10:29,TRUE,1/11/2018 10:39,,1/11/2018 10:30,Suspicious Activity,1,0,0,0,69.54545455,11,I saw a Student riding my stolen bike on campus. He was riding toward [PERSON]. My bike is pink and green with a basket on it.,Suspicious Activity,797683,0,0,11,,,,
HigherEd,101-85-108-115-105-32-105-119-110-115-118-,101-85-108-115-105-32-105-119-110-115-118-,6/3/2014 14:11,157998,797838,1/11/2018 13:42,TRUE,1/11/2018 13:47,,1/11/2018 13:44,Theft / Lost Item,1,0,0,0,42.14285714,7,My blue beatsX earbuds were stolen in the brewhaha parking lot by a white male about #'#�?with dark hair and a white beard who was driving a white pickup truck that had a bunch of bumper stickers on the back including a padagonia one that was shaped like a shark,Theft / Lost Item,797938,0,0,7,,,,
HigherEd,111-65-105-97-32-32-105-101-114-97-122-,65-65-00-32-45-116-85-00-83-32-32-,4/3/2014 18:30,745045,797858,1/11/2018 13:56,TRUE,1/11/2018 14:02,,1/11/2018 13:57,Suspicious Activity,1,0,0,1,58.25,8,Keeps pacing and has a suite case. Talking to self. Behaving strange .,Suspicious Activity,797958,0,0,8,,,,
HigherEd,101-77-118-115-118-85-108-114-105-115-108-,101-77-118-115-118-85-108-114-105-115-108-,2/17/2015 0:46,1898221,798000,1/11/2018 15:41,TRUE,1/11/2018 15:46,,1/11/2018 15:42,Suspicious Activity,1,0,0,1,34,6,Man came into business acting very weird and seemed to be impaired in some way. He got in car and sat in parking lot for about ## mind and then drove away very slowly taking a very long time to back up and get onto the road. Being extra cautious/ suspicious. He was driving a sliver [ORG] with new [GPE] tags and a hitch on the back. I feel he may be a danger on the road.,Suspicious Activity,798100,0,0,4,,,,
HigherEd,32-76-00-111-108-00-110-00-97-111-101-,32-76-00-111-108-00-110-00-97-111-101-,6/6/2016 14:48,730435,798096,1/11/2018 16:43,TRUE,1/11/2018 16:46,,1/11/2018 16:44,Drugs/Alcohol,1,0,0,1,34.42857143,7,Somebody is smoking over here by [ORG].,Drugs/Alcohol,798196,0,0,7,,,,
HigherEd,101-85-108-115-105-32-105-119-110-115-118-,101-85-108-115-105-32-105-119-110-115-118-,6/3/2014 14:11,1898535,798503,1/11/2018 20:59,TRUE,1/11/2018 21:05,,1/11/2018 21:00,Emergency Message,1,0,0,1,85.25,4,"Hi sorry to bother you but I just heard shouting around my area, and it's probably nothing but as a girl alone in a house in the area of the latest armed robbery, I'm being extra cautious. Can you just send a public safety car to drive around the north campus area streets once or twice? Just to make sure nothing is amiss?",Emergency Message,798603,0,0,4,,,,
HigherEd,67-85-00-97-114-32-67-00-78-97-32-,67-85-00-97-114-00-67-00-78-97-32-,11/1/2013 18:18,841746,798695,1/11/2018 22:52,TRUE,1/11/2018 22:53,,1/11/2018 22:52,Drugs/Alcohol,1,0,0,1,24.75,4,Drunk group walking on the top part of craver road walking from pats toward bus station/student union. Girls can barely walk,Drugs/Alcohol,798795,0,0,4,,,,
HigherEd,67-85-00-97-114-32-67-00-78-97-32-,67-85-00-97-114-00-67-00-78-97-32-,11/1/2013 18:18,990956,799013,1/12/2018 3:07,TRUE,1/12/2018 3:28,,1/12/2018 3:07,Emergency Message,1,0,0,0,21.36363636,11,"My name is [PERSON], my student [ORG] number is [DATE]. I need a ride from [FAC] to [FAC]. The buses are no longer running.",Emergency Message,799113,0,0,11,,,,
HigherEd,101-85-117-115-105-32-105-104-110-115-118-,101-85-117-115-105-32-105-104-110-115-118-,9/9/2014 21:20,629705,799406,1/12/2018 9:02,FALSE,1/12/2018 9:07,,1/12/2018 9:02,Suspicious Activity,1,0,0,0,34,5,"There is a man walking around the parking lot near the [ORG] gym, he approached my car and stood staring at me until I drove away. He is about #'# with a thin frame, he is a black man with curly hair that is about an inch long. He's wearing an olive colored jacket",Suspicious Activity,799506,0,0,5,,,,
HigherEd,97-70-121-32-85-115-114-00-117-32-109-,97-70-121-32-85-115-114-00-117-32-109-,8/14/2013 22:59,825300,799836,1/12/2018 14:28,TRUE,1/12/2018 16:49,,1/12/2018 14:30,Harassment / Abuse,1,0,0,0,55.85714286,14,"I can't watch this anymore. I live in [FAC] and my friend [PERSON] who also lives on the [PERSON] has been losing her mind trying to deal with her suite mates. She's tried everything from talking to RAs to Housing and nothing has changed! The suite mates keep purposefully leaving awful messes and blaming her when they aren't cleaned, they go to housing accusing her of things she's never done, and just purely harassing her by sending text after text in [DATE], locking her out of the bathroom constantly, and even standing by her door and loudly mocking her just to be mean! These girls are all but straight up bullying her and it's making her miserable and I can't just sit here and watch it any longer! She can't seem to get anyone to listen to her so I'm gonna try. I haven't even told her I'm sending this message, I just can't stand to see this continue.",Harassment / Abuse,799936,0,0,14,,,,
HigherEd,67-85-00-97-114-32-67-00-78-97-32-,67-85-00-97-114-00-67-00-78-97-32-,11/1/2013 18:18,1900010,800353,1/12/2018 19:45,TRUE,1/12/2018 20:57,,1/12/2018 19:48,Drugs/Alcohol,1,0,0,1,88.6,5,"[ORG] ###, strong smell of [GPE].",Drugs/Alcohol,800453,0,0,5,,,,
HigherEd,109-68-00-117-116-00-114-00-97-117-116-,109-68-00-117-116-00-114-00-97-117-116-,5/7/2015 21:27,1027861,800848,1/13/2018 1:56,TRUE,1/13/2018 2:15,,1/13/2018 2:00,Emergency Message,1,0,0,0,42,4,"Would like a ride back to my dorm. Helped a friend get home safe and someone stole my umbrella in the process. I'm currently in cutter shabazz, i live in [GPE].",Emergency Message,800948,0,0,4,,,,
HigherEd,111-65-105-97-32-32-105-101-114-97-122-,65-65-00-32-45-116-85-00-83-32-32-,4/3/2014 18:30,118545,800871,1/13/2018 2:16,TRUE,1/13/2018 2:22,,1/13/2018 2:17,Suspicious Activity,1,0,0,1,67.42857143,7,"# male individuals, one in yellow jacket, parked car on west side [ORG] arena and walked to stadium structure and appeared to be looking in cars on the bottom floor, their car is a dark older model [ORG] sedan with [GPE] plate [ORG]",Suspicious Activity,800971,0,0,7,,,,
HigherEd,101-85-110-115-105-32-105-117-110-115-118-,101-85-110-115-105-32-105-117-110-115-118-,7/14/2014 20:13,692651,801683,1/13/2018 12:54,TRUE,1/13/2018 13:36,,1/13/2018 12:56,Drugs/Alcohol,1,0,0,1,60.39130435,23,I have recently noticed a man by the name of [PERSON] coming in and out of [ORG] and meeting people in there car for short periods of time. I actually had this man come up to me and ask me if I want to buy cocaine off of him. I feel very unsafe living in a dorm where someone would sell illegal drugs. I also had another male send me this picture of him to warn me to stay away from him. Please help take care of this situation. Thank you.,Drugs/Alcohol,801783,0,0,23,,,,
HigherEd,101-85-110-115-105-32-105-104-110-115-118-,101-85-110-115-105-32-105-104-110-115-118-,2/13/2015 19:37,1696385,802295,1/13/2018 19:47,FALSE,1/13/2018 19:59,,1/13/2018 19:48,Drugs/Alcohol,1,0,0,1,84.57142857,7,"At about #:## pm on [DATE] the ##th In [FAC], I saw a tall black male carry what appeared to be drug paraphernalia into room ###.",Drugs/Alcohol,802395,0,0,7,,,,
HigherEd,32-87-105-105-114-32-115-101-101-105-116-,32-87-105-105-114-32-115-101-101-105-116-,9/27/2013 14:48,1043852,802675,1/13/2018 23:35,TRUE,1/13/2018 23:42,,1/13/2018 23:36,Drugs/Alcohol,1,0,0,1,27,4,"There is, and has been, the consistent smell of [GPE] at [FAC], Building ##. I can smell it from my room, with all of my doors shut. It's numerous days a week, and is relentless. It fills the entire building, but I'm pretty sure it's coming from the top floor of the building",Drugs/Alcohol,802775,0,0,4,,,,
HigherEd,101-85-117-115-105-32-105-104-110-115-118-,101-85-117-115-105-32-105-104-110-115-118-,11/12/2014 22:51,119369,802676,1/13/2018 23:35,TRUE,1/13/2018 23:47,,1/13/2018 23:36,Drugs/Alcohol,1,0,0,1,115.1428571,7,"There's a party at [ORG] kappa phi, they tried to force alcohol on me when I said no. I just walked out, please don't let this happen to anyone else.",Drugs/Alcohol,802776,0,0,7,,,,
HigherEd,32-72-114-111-105-105-103-105-105-111-104-,32-72-114-111-105-105-103-105-105-111-104-,7/31/2014 15:28,294928,802942,1/14/2018 3:06,FALSE,1/14/2018 3:09,,1/14/2018 3:08,Drugs/Alcohol,1,0,0,1,77.75,4,Centennial # ### is blasting music and drinking,Drugs/Alcohol,803042,0,0,4,,,,
HigherEd,102-67-115-114-110-112-108-32-97-114-105-,102-67-115-114-110-112-108-32-97-114-105-,4/17/2015 3:33,1901377,803109,1/14/2018 5:41,TRUE,1/14/2018 5:57,,1/14/2018 5:46,Drugs/Alcohol,1,0,0,0,78.42857143,7,Cottage ## people are drunk at #:## am sunday. Resident named [PERSON] is in possession of four locos,Drugs/Alcohol,803209,0,0,7,,,,
HigherEd,110-83-00-101-32-00-119-00-101-101-97-,110-83-00-101-00-00-119-00-101-101-97-,6/8/2016 16:19,303027,803322,1/14/2018 8:50,TRUE,1/14/2018 8:55,,1/14/2018 8:54,Emergency Message,1,0,0,0,20.75,4,"Hello, I'm a student and got back from [FAC] via the Groome shuttle. Could I please get a ride to campus? Thanks.",Emergency Message,803422,0,0,4,,,,
HigherEd,101-85-111-115-105-101-105-116-110-115-118-,101-85-111-115-105-101-105-116-110-115-118-,11/11/2015 21:21,203653,803374,1/14/2018 9:34,TRUE,1/14/2018 9:36,,1/14/2018 9:35,Theft / Lost Item,1,0,0,0,43.5,4,"Creo [PERSON] [ORG] o [GPE] perdí camino del cajero a residencias. La han visto?? Es de Banamex y trae por nombre José Antonio Pa[GPE]cios. Esto fue ayer en [GPE] tarde, pero me [PERSON] cuenta ahorita.",Theft / Lost Item,803474,0,0,4,,,,
HigherEd,80-85-00-109-98-00-67-00-78-109-32-,80-85-00-109-98-00-67-00-78-109-32-,7/6/2016 23:22,749438,804293,1/14/2018 20:39,FALSE,1/15/2018 1:38,,1/14/2018 20:40,Drugs/Alcohol,1,0,0,0,72.92307692,26,village ### [ORG] roommate [DATE] has alcohol. [PERSON].,Drugs/Alcohol,804393,0,0,26,,,,
HigherEd,00-86-00-00-00-00-85-00-67-00-32-,00-86-00-00-00-00-85-00-67-00-00-,8/15/2013 1:06,296255,804515,1/14/2018 23:20,TRUE,1/14/2018 23:25,,1/14/2018 23:21,Harassment / Abuse,1,0,0,1,50.25,4,Sounded like gunshots near catherine and gilmer,Harassment / Abuse,804615,0,0,4,,,,
HigherEd,32-69-00-110-105-116-111-00-108-110-110-,32-69-00-110-105-116-111-00-108-110-110-,12/2/2014 19:52,1901118,804836,1/15/2018 3:55,FALSE,1/15/2018 4:09,,1/15/2018 3:56,Drugs/Alcohol,1,0,0,1,21,6,"Someone on the first floor of [ORG] is smoking something and it is making the whole floor smell. It can also be smelled on the second floor. Could someone please check it out, and try to figure out who it is so they will stop? This is a drug and alcohol free building. They need to respect that, they moved into this building knowing that.",Drugs/Alcohol,804936,0,0,6,,,,
HigherEd,111-65-105-97-32-32-105-101-114-97-122-,65-65-00-32-45-116-85-00-83-32-32-,4/3/2014 18:30,1878757,804859,1/15/2018 4:17,TRUE,1/15/2018 4:36,,1/15/2018 4:18,Suspicious Activity,1,0,0,1,94.83333333,12,"An [NORP] is his late ##s or [DATE] wearing shorts and black t-shirt with “[GPE]�?printed on it. Approached me asking to use my cell phone. He said a woman took his clothes and all his cash and he needed to call his brother to pick him up. He was talking very fast and suspicious, not at all sincere. I felt that he was going to take my phone and run off. This happened along E Apache Blvd.",Suspicious Activity,804959,0,0,12,,,,
HigherEd,32-72-114-111-105-105-103-105-105-111-104-,32-72-114-111-105-105-103-105-105-111-104-,7/31/2014 15:28,1063748,805381,1/15/2018 10:56,TRUE,1/15/2018 11:02,,1/15/2018 10:58,Harassment / Abuse,1,0,0,1,26.33333333,6,Multiple cases of harassment from room ###,Harassment / Abuse,805481,0,0,6,,,,
HigherEd,111-83-116-107-32-114-102-32-117-107-102-,111-83-116-107-32-114-102-00-117-107-102-,2/27/2015 14:59,230450,805617,1/15/2018 13:25,TRUE,1/15/2018 13:40,,1/15/2018 13:27,Drugs/Alcohol,1,0,0,1,52,9,"[ORG] is filled with the smell of weed, expecially in front of specific doors! it is not resident coming from outside way to strong for that.",Drugs/Alcohol,805717,0,0,9,,,,
HigherEd,111-76-116-110-32-114-110-32-105-110-99-,111-76-116-110-32-114-110-32-105-110-99-,2/9/2017 20:44,1060023,806023,1/15/2018 18:11,TRUE,1/16/2018 0:23,,1/15/2018 18:13,Drugs/Alcohol,1,0,0,1,39.25,4,ashmun ### girls are smoking,Drugs/Alcohol,806123,0,0,4,,,,
HigherEd,00-86-00-00-00-00-85-00-67-00-32-,00-86-00-00-00-00-85-00-67-00-00-,8/15/2013 1:06,378436,806247,1/15/2018 20:43,TRUE,1/15/2018 20:47,,1/15/2018 20:44,Suspicious Activity,1,0,0,0,58.375,8,"There is a suspicious man standing in the cold in the alley way between [ORG] and [PERSON], towards [PERSON] standing behind the [ORG] parking deck. He has been standing the deck and has been standing there for over an hour suspiciously, almost like a lookout or dealer.",Suspicious Activity,806347,0,0,8,,,,
HigherEd,32-87-116-111-116-83-85-32-86-111-58-,32-87-116-111-116-83-85-32-86-111-58-,9/29/2014 13:47,1027682,806499,1/15/2018 23:44,TRUE,1/15/2018 23:47,,1/15/2018 23:45,Drugs/Alcohol,1,0,0,1,38.5,4,"my roommate and I heard noises in the first tower of [ACRONYM] on the #nd floor so we checked, and when we stuck our heads out to check we could smell distinct alcohol comming from the hall. We live in ###.",Drugs/Alcohol,806599,0,0,4,,,,
HigherEd,101-85-110-115-105-32-105-117-110-115-118-,101-85-110-115-105-32-105-117-110-115-118-,7/14/2014 20:13,236876,807401,1/16/2018 12:23,TRUE,1/16/2018 12:27,,1/16/2018 12:24,Suspicious Activity,1,0,0,1,50,5,"Hello, I live on [FAC] and we found footprints in the snow leading up to all our car doors. We just thought maybe the police could patrol a little extra throughout the night for [DATE]. Thanks.",Suspicious Activity,807501,0,0,5,,,,
HigherEd,101-85-117-115-105-32-105-104-110-115-118-,101-85-117-115-105-32-105-104-110-115-118-,11/12/2014 22:51,196283,807460,1/16/2018 13:13,TRUE,1/16/2018 13:16,,1/16/2018 13:14,Drugs/Alcohol,1,0,0,0,44.75,4,"I saw someone with a big bag of weed in go into my roommate's room, [DATE] at the grove.",Drugs/Alcohol,807560,0,0,4,,,,
